word1,word2
tractament,recuperació
diari,associació
metge,personal
metge,responsabilitat
responsabilitat,assegurança
escola,centre
raó,hipertensió
raó,criteri
cent,percentatge
Harvard,Yale
hospital,infraestructura
mort,fila
mort,intern
advocat,evidència
vida,mort
vida,terme
paraula,similitud
tauler,recomanació
governador,entrevista
OPEP,país
pau,atmosfera
pau,assegurança
territori,quilòmetre
viatge,activitat
competència,preu
consumidor,confiança
consumidor,energia
problema,aeroport
cotxe,vol
crèdit,targeta
crèdit,informació
hotel,reserva
supermercat,diners
inscripció,arranjament
arranjament,allotjament
mes,hotel
tipus,tipus
arribada,hotel
llit,armari
armari,roba
situació,conclusió
situació,aïllament
imparcialitat,interès
direcció,combinació
carrer,lloc
carrer,avinguda
carrer,bloc
carrer,nens
llistat,proximitat
llistat,categoria
cel·la,telèfon
producció,excursió
referent,índex
mitjans,comerç
mitjans,guany
dividend,pagament
dividend,càlcul
càlcul,computació
moneda,mercat
OPEP,oli
oli,estoc
anunci,producció
anunci,avís
benefici,avís
benefici,pèrdua
dòlar,ien
dòlar,pasta
dòlar,benefici
dòlar,pèrdua
ordinador,programari
xarxa,maquinari
telèfon,equipament
equipament,fabricant
luxe,cotxe
cinc,mes
informe,guany
inversor,guanyar
líquid,aigua
beisbol,temporada
joc,victòria
joc,equip
marató,esprint
joc,sèrie
joc,derrota
set,sèrie
marisc,mar
marisc,menjar
marisc,llamàntol
llamàntol,menjar
llamàntol,vi
menjar,preparació
vídeo,arxiu
començar,any
començar,coincidència
joc,ronda
boxejar,ronda
campionat,torneig
lluita,derrotant
línia,assegurança
dia,estiu
estiu,sequera
salt,pepper
sugar,sweet
coffee,morning
tea,china
water,drink
stone,rock
wind,breeze
storm,thunder
desert,dry
jungle,wild
island,sea
valley,hill
bridge,river
tunnel,underground
highway,car
bicycle,pedal
airplane,sky
boat,water
skateboard,wheels
helmet,safety
glove,hand
sock,foot
jacket,warm
umbrella,rain
sunglasses,sun
watch,wrist
ring,finger
necklace,neck
bracelet,arm
happiness,smile
sadness,tear
fear,scared
anger,rage
surprise,shock
disgust,nausea
trust,honest
hope,future
pride,accomplishment
shame,guilt
love,heart
courage,brave
apple,orange
red,blue
tall,short
young,old
hot,warm
cold,freezing
easy,simple
hard,difficult
empty,full
clean,dirty
quiet,silent
loud,noisy
beautiful,pretty
ugly,hideous
strong,powerful
weak,fragile
good,excellent
bad,terrible
new,fresh
old,ancient
